"Playoff.Wins","FGA","FG_perc","X3PA","X3P_perc","FTA","FT_perc","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","O_FGA","O_FG_perc","O_3PA","O_3P_perc","O_2P","O_FTA","O_FT_perc","O_ORB","O_DRB","O_AST","O_STL","O_BLK","O_TOV","O_PF","O_PTS","W","MOV","SOS","SRS","ORtg","DRtg","Pace","FTr","X3PAr","eFG_perc","TOV_perc","ORB_perc","FT.FGA","eFG_perc_1","TOV_perc_2","DRB_perc","FT.FGA_3","Attendance"
16,27,4,11,11,6,26,21,6,11,22,17,1,23,5,1,20,3,4,7,15,2,24,21,3,3,19,18,12,5,3,1,3,12,3,7,3,20,2,7,4,24,13,6,2,12,17,3,11
14,18,14,22,22,5,15,14,12,10,7,5,21,16,14,14,8,2,11,20,4,11,6,7,14,5,22,19,3,8,2,8,4,29,4,18,1,11,7,22,21,16,14,7,4,3,6,14,23
10,2,7,2,3,26,1,24,9,17,9,11,13,1,9,1,18,12,29,10,9,17,1,23,28,17,3,3,5,19,16,1,1,14,1,1,9,7,28,2,3,1,27,20,15,9,19,10,3
8,28,24,6,8,12,9,26,18,25,23,28,8,5,10,26,3,13,1,13,11,8,5,1,19,2,4,5,24,6,1,5,5,28,5,15,4,29,9,3,14,9,24,9,5,15,1,15,1
7,1,3,9,4,24,18,25,1,3,3,2,12,12,4,3,28,1,9,1,25,13,2,28,27,13,21,6,10,28,17,3,2,13,2,6,2,1,26,12,2,6,26,29,1,18,21,5,12
6,4,9,7,10,8,25,5,7,4,5,15,7,12,25,4,4,9,7,10,9,8,25,5,7,5,15,7,12,25,4,5,9,9,9,4,19,8,12,8,8,7,9,13,17,21,8,20,9
6,15,10,28,28,4,8,7,20,16,15,1,28,16,19,9,5,23,21,18,7,18,17,4,7,18,12,28,1,7,15,9,10,25,12,11,12,13,5,27,23,14,7,4,26,2,9,22,4
4,21,27,1,21,16,22,28,14,26,27,4,25,7,11,22,7,7,28,4,5,19,6,10,29,19,8,8,6,12,12,13,18,21,19,24,8,17,14,1,19,11,29,14,13,5,10,21,13
3,7,22,3,9,9,6,18,22,23,21,8,26,10,26,6,14,25,15,5,23,25,22,14,24,21,14,15,4,10,24,16,16,24,17,10,20,5,13,5,11,8,22,12,25,6,18,23,26
3,22,5,16,24,17,20,13,25,22,8,3,24,19,2,15,12,21,23,11,13,1,19,6,2,23,20,10,9,26,11,5,7,11,6,8,13,22,15,17,5,21,8,15,21,7,12,1,6
